taxon,tvk,km100,km10,coord_system
Paragus albifrons,NBNSYS0000006892,SU,13 40 94,OSGB
Paragus albifrons,NBNSYS0000006892,SY,67,OSGB
Paragus albifrons,NBNSYS0000006892,SZ,08,OSGB
Paragus albifrons,NBNSYS0000006892,TM,14,OSGB
Paragus albifrons,NBNSYS0000006892,TQ,04 33 50 57 77 87 96 98,OSGB
Paragus albifrons,NBNSYS0000006892,TR,06 35,OSGB
Paragus albifrons,NBNSYS0000006892,TV,49,OSGB
Cheilosia impressa,NBNSYS0000006985,NH,88,OSGB
Cheilosia impressa,NBNSYS0000006985,NK,02,OSGB
Cheilosia impressa,NBNSYS0000006985,NO,06 40,OSGB
Cheilosia impressa,NBNSYS0000006985,NR,88,OSGB
Cheilosia impressa,NBNSYS0000006985,NS,02 89 99,OSGB
Cheilosia impressa,NBNSYS0000006985,NT,08 18 96,OSGB
Cheilosia impressa,NBNSYS0000006985,NY,22 44 95 96,OSGB
Cheilosia impressa,NBNSYS0000006985,NZ,02 10 25 27 43 44 51,OSGB
Cheilosia impressa,NBNSYS0000006985,SD,20 21 34 37 38 39 41 44 47 48 49 57 70 73 75 81 90,OSGB
Cheilosia impressa,NBNSYS0000006985,SE,08 09 19 21 26 30 31 33 50 51 58 68 69 70 74 79 83 85 86 88 99,OSGB
Cheilosia impressa,NBNSYS0000006985,SH,33 46 48 53 57 58 85,OSGB
Cheilosia impressa,NBNSYS0000006985,SJ,17 22 28 29 34 35 38 39 40 50 51 54 60 64 69 71 74 82 84 85 92 99,OSGB
Cheilosia impressa,NBNSYS0000006985,SK,04 26 29 35 37 38 39 43 46 47 48 49 52 53 55 57 58 65 66 67 70 80 82 85 91,OSGB
Cheilosia impressa,NBNSYS0000006985,SM,72,OSGB
Cheilosia impressa,NBNSYS0000006985,SN,02 14 23 24 35 40 42 51,OSGB
Cheilosia impressa,NBNSYS0000006985,SO,00 03 30 32 35 37 38 41 50 51 59 60 61 70 71 73 74 75 77 80 81 82 83 84 86 87 90 91 92 94 95,OSGB
Cheilosia impressa,NBNSYS0000006985,SP,01 02 03 05 06 09 12 13 14 15 21 31 40 41 46 50 51 60 61 78 85 96 99,OSGB
Cheilosia impressa,NBNSYS0000006985,SR,99,OSGB
Cheilosia impressa,NBNSYS0000006985,SS,21 48 49 51 53 58 59 64 68 69 78 79 84 92 97,OSGB
Cheilosia impressa,NBNSYS0000006985,ST,03 04 11 17 20 21 22 30 31 32 40 41 42 43 44 45 47 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 70 71 72 73 74 75 76 78 79 80 82 83 84 85 86 88 90 91 93 94 95 97,OSGB
Cheilosia impressa,NBNSYS0000006985,SU,01 02 03 11 12 13 14 15 16 22 23 24 26 29 30 31 32 33 36 40 42 46 47 49 50 52 56 60 61 65 66 67 68 70 71 72 77 78 81 82 84 85 88 89 90 91 93 94 95 96,OSGB
Cheilosia impressa,NBNSYS0000006985,SW,43 52 53 54 61 62 63 64 71 75 76 81 87 97,OSGB
Cheilosia impressa,NBNSYS0000006985,SX,06 07 08 15 16 35 45 46 54 55 59 65 74 75 76 77 78 84 86 87 88 98,OSGB
Cheilosia impressa,NBNSYS0000006985,SY,08 19 28 39 49 58 59 67 68 69 77 78 79 88 89 98,OSGB
Cheilosia impressa,NBNSYS0000006985,SZ,08 29 38 47 57 58 59 68,OSGB
Cheilosia impressa,NBNSYS0000006985,TA,02 08 21,OSGB
Cheilosia impressa,NBNSYS0000006985,TF,00 01 10 16 17 18 36 61 70 71 74 83 84 91 93 94,OSGB
Cheilosia impressa,NBNSYS0000006985,TG,02 04 12 14 30 31 32 50,OSGB
Cheilosia impressa,NBNSYS0000006985,TL,02 08 09 14 19 21 24 27 28 29 44 45 55 56 57 60 66 67 68 69 77 78 79 86 87 88 89 93 95 99,OSGB
Cheilosia impressa,NBNSYS0000006985,TM,04 07 08 13 19 23 24 28 35 36 39 46 47,OSGB
Cheilosia impressa,NBNSYS0000006985,TQ,01 03 04 05 06 07 09 14 15 16 17 19 21 24 25 26 30 31 34 35 36 40 41 42 45 46 47 48 50 53 54 55 56 57 61 64 65 67 68 69 75 76 77 78 81 84 85 86 87 88 93 95 96,OSGB
Cheilosia impressa,NBNSYS0000006985,TR,02 04 05 13 14 15 16 23 35,OSGB
Cheilosia impressa,NBNSYS0000006985,TV,59,OSGB
Xylota florum,NBNSYS0000007114,NG,72,OSGB
Xylota florum,NBNSYS0000007114,NU,00,OSGB
Xylota florum,NBNSYS0000007114,NY,22 31 40 41 42 44 45 56,OSGB
Xylota florum,NBNSYS0000007114,NZ,02 43,OSGB
Xylota florum,NBNSYS0000007114,SD,21 37 47 53 54,OSGB
Xylota florum,NBNSYS0000007114,SE,25 48 54 58 67 68 69 71 78 79 98,OSGB
Xylota florum,NBNSYS0000007114,SH,56 64 72 74 91,OSGB
Xylota florum,NBNSYS0000007114,SJ,03 05 15 20 31 34 43 50 56 60 67 74 95,OSGB
Xylota florum,NBNSYS0000007114,SK,01 04 05 11 32 33 34 38 48 58 67 96,OSGB
Xylota florum,NBNSYS0000007114,SN,00 01 02 04 13 24 30 35 40 50 51 61 62 66 68 69 72 74 77,OSGB
Xylota florum,NBNSYS0000007114,SO,09 32 33 42 49 51 61 77 78 85 86 89 90 91,OSGB
Xylota florum,NBNSYS0000007114,SP,01 09 17 31 40 60,OSGB
Xylota florum,NBNSYS0000007114,SR,99,OSGB
Xylota florum,NBNSYS0000007114,SS,22 31 48 79,OSGB
Xylota florum,NBNSYS0000007114,ST,40 41 44 50 54 60 66 73 84 93,OSGB
Xylota florum,NBNSYS0000007114,SU,00 03 10 11 20 21 30 36 40 42 46 49 51 53 56 66 72 73 75 82 83 85 87 91 92 93 94 95 96 97,OSGB
Xylota florum,NBNSYS0000007114,SX,07 35 78 87,OSGB
Xylota florum,NBNSYS0000007114,SY,78 79 89 98,OSGB
Xylota florum,NBNSYS0000007114,SZ,08 19 58,OSGB
Xylota florum,NBNSYS0000007114,TF,91,OSGB
Xylota florum,NBNSYS0000007114,TG,14 23 31,OSGB
Xylota florum,NBNSYS0000007114,TL,30 42 65 66 87 88 99,OSGB
Xylota florum,NBNSYS0000007114,TM,46,OSGB
Xylota florum,NBNSYS0000007114,TQ,01 14 16 17 19 22 29 34 43 53 61 64 71,OSGB
Xylota florum,NBNSYS0000007114,TR,13 35,OSGB
Blera fallax,NBNSYS0000007099,NH,70 81 90 91 92 94,OSGB
Blera fallax,NBNSYS0000007099,NJ,00 01 02 05,OSGB
Blera fallax,NBNSYS0000007099,NO,19,OSGB
Xylota tarda,NBNSYS0000007117,NC,50 80,OSGB
Xylota tarda,NBNSYS0000007117,NG,87,OSGB
Xylota tarda,NBNSYS0000007117,NH,02 45 52 59 69 70 79 80 81 91 94,OSGB
Xylota tarda,NBNSYS0000007117,NJ,02 31 62,OSGB
Xylota tarda,NBNSYS0000007117,NN,48 65 79,OSGB
Xylota tarda,NBNSYS0000007117,NO,04 29,OSGB
Xylota tarda,NBNSYS0000007117,NS,45,OSGB
Xylota tarda,NBNSYS0000007117,NT,54,OSGB
Xylota tarda,NBNSYS0000007117,NY,35 69,OSGB
Xylota tarda,NBNSYS0000007117,NZ,43,OSGB
Xylota tarda,NBNSYS0000007117,SE,21,OSGB
Xylota tarda,NBNSYS0000007117,SH,67,OSGB
Xylota tarda,NBNSYS0000007117,SJ,92,OSGB
Xylota tarda,NBNSYS0000007117,SK,17 34 38 50 51 70,OSGB
Xylota tarda,NBNSYS0000007117,SO,12 32 56 60 94,OSGB
Xylota tarda,NBNSYS0000007117,SP,09 17 27 31 35 37 49 51 95 98,OSGB
Xylota tarda,NBNSYS0000007117,ST,50 66 72 75 78,OSGB
Xylota tarda,NBNSYS0000007117,SU,20 22 30 43 49 51 56 57 66 75 78 82 85 86 87 94 97,OSGB
Xylota tarda,NBNSYS0000007117,SY,89,OSGB
Xylota tarda,NBNSYS0000007117,SZ,19 59 68,OSGB
Xylota tarda,NBNSYS0000007117,TF,07,OSGB
Xylota tarda,NBNSYS0000007117,TL,03 09 25 28 51 65 99,OSGB
Xylota tarda,NBNSYS0000007117,TM,04,OSGB
Xylota tarda,NBNSYS0000007117,TQ,15 17 19 41 42 44 46 47 64 93 94,OSGB
Xylota tarda,NBNSYS0000007117,TR,16,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,NN,95,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,NT,00,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,NX,91 98 99,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,NY,30 45 52 53 55 56,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SC,49,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SD,09 17 26 29 39 46 47 48 59,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SH,33 46 52 53 57 58 61 72 76,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SJ,01 22 25 41 43 50 60 66 67,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SK,04 22 50 51 52 53 60 63 90 91,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SM,80 90,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SN,00 01 10 14 24 30 35 40 42 50 51 57 61 66 73 80 90,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SO,00 01 12 14 21 30 33 48 50 51 60 61 62 71 72 73 74 75 77 78 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98 99,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SP,00 06 12 15 18 22 25 26 27 29 30 31 35 36 37 38 39 40 41 46 47 50 51 55 57 60 61 76 80 83 85 86 90 91 92 96 99,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SR,89 99,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SS,21 22 42 43 48 49 53 58 59 69 72 78 84 87 91 94 97,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,ST,01 06 10 17 18 21 24 25 28 29 30 33 34 35 36 41 42 43 45 46 47 50 51 52 53 55 56 57 58 59 60 62 63 65 66 67 68 70 73 74 76 78 79 80 81 85 86 90 91 96,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SU,00 01 02 03 07 09 10 11 14 18 20 23 30 31 40 42 46 49 50 51 53 56 57 58 59 60 61 65 66 67 68 70 71 72 73 75 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 93 94 95 96 97 98,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SW,42 53 54 61 62 64 72 74 75 76 83 84 85 95 97,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SX,06 08 09 19 25 26 35 36 44 45 46 47 55 65 66 67 73 74 75 78 84 85 86 87 95 97 98 99,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SY,08 09 28 39 49 58 59 66 67 68 69 78 79 88 89 98,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,SZ,08 09 19 29 38 49 57 58 59 68 69 79 89 99,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,TF,00 10 62 91 92,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,TG,01 02 03 14 20 21 22 30 31 32 40,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,TL,01 02 03 04 07 08 09 10 11 12 14 15 16 18 19 22 27 28 29 30 35 36 41 42 44 45 46 51 52 56 57 66 70 71 76 77 82 83 85 87 88 89 92 93 94 97 98 99,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,TM,01 02 03 05 07 08 13 14 15 16 23 24 25 27 34 35 36 37 39 45 46 47 48 49 59,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,TQ,01 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 22 23 24 25 26 27 28 29 34 35 36 37 38 39 40 41 42 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 61 63 64 65 66 67 68 69 71 72 75 76 77 78 79 81 82 85 86 87 88 89 93 94 95 96 98,OSGB
Xanthogramma pedissequum,NBNSYS0000006968,TR,04 05 06 13 15 16 23 24 36 37,OSGB
Melanogaster hirtella,NBNSYS0100003969,HP,50 60 61,OSGB
Melanogaster hirtella,NBNSYS0100003969,HU,35 44 45 46 54,OSGB
Melanogaster hirtella,NBNSYS0100003969,HY,22 30 31 32 64,OSGB
Melanogaster hirtella,NBNSYS0100003969,NA,92,OSGB
Melanogaster hirtella,NBNSYS0100003969,NB,03 10 11 13 20 22 23 44 46 53 54 55 91,OSGB
Melanogaster hirtella,NBNSYS0100003969,NC,01 02 10 12 15 20 21 22 23 35 36 50 51 52 64 75 76 86,OSGB
Melanogaster hirtella,NBNSYS0100003969,ND,15 16 17 26 28 29,OSGB
Melanogaster hirtella,NBNSYS0100003969,NF,70 71 72 73 76 77 81 83 84 86 98,OSGB
Melanogaster hirtella,NBNSYS0100003969,NG,08 09 18 19 20 24 25 26 29 30 33 34 36 37 42 43 45 46 47 50 51 53 54 55 60 61 62 71 76 77 83 84 85 87 91 92 95 96 97 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,NH,06 10 12 16 19 20 22 25 27 33 37 41 43 45 51 52 55 59 64 66 67 69 70 73 74 75 76 77 79 80 81 83 84 87 90 91 94 95,OSGB
Melanogaster hirtella,NBNSYS0100003969,NJ,01 02 03 05 11 12 22 23 24 25 33 35 42 56 70 72 74 80 81 90 93,OSGB
Melanogaster hirtella,NBNSYS0100003969,NK,03 05 15,OSGB
Melanogaster hirtella,NBNSYS0100003969,NM,22 35 39 43 44 45 48 49 57 68 69 76 79 84 86 90 91 94 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,NN,00 01 02 05 09 10 11 12 16 18 20 21 23 25 30 32 40 41 43 44 45 48 50 51 52 53 55 58 60 61 62 63 65 67 68 69 70 71 72 75 80 81 84 86 87 89 92 93 95 96,OSGB
Melanogaster hirtella,NBNSYS0100003969,NO,03 06 08 10 11 12 14 19 22 29 49 55 59 65 69 87,OSGB
Melanogaster hirtella,NBNSYS0100003969,NR,26 27 34 37 44 45 46 57 61 62 68 70 71 72 73 74 75 76 78 79 84 89 92 93 95 96,OSGB
Melanogaster hirtella,NBNSYS0100003969,NS,02 03 04 06 18 19 21 25 26 30 31 35 36 39 40 41 43 45 47 49 50 52 54 55 57 58 60 63 66 67 68 69 70 73 75 76 77 78 79 81 82 87 88 89 96 97 98 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,NT,04 06 07 13 17 18 20 22 23 24 27 31 33 34 35 36 40 41 42 43 44 48 50 52 53 54 61 64 76 90 93 96,OSGB
Melanogaster hirtella,NBNSYS0100003969,NX,05 07 15 16 17 18 19 25 26 28 35 36 37 38 39 43 47 48 49 55 56 58 59 64 74 75 77 78 85 86 87 89 91 95 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,NY,00 01 06 10 12 14 21 22 25 26 28 29 30 32 33 35 38 42 43 47 48 51 52 53 54 55 56 60 63 64 66 67 68 69 70 82 83 92 94 95,OSGB
Melanogaster hirtella,NBNSYS0100003969,NZ,00 01 02 13 14 15 16 23 43,OSGB
Melanogaster hirtella,NBNSYS0100003969,SC,26 27 28 37 38 39 49,OSGB
Melanogaster hirtella,NBNSYS0100003969,SD,09 17 27 28 29 30 33 34 38 39 45 46 47 48 49 50 51 53 54 55 57 58 59 61 62 64 66 70 71 72 73 76 79 80 81 82 86 90 91 93 97,OSGB
Melanogaster hirtella,NBNSYS0100003969,SE,00 01 02 10 12 13 15 17 18 20 21 26 30 34 40 45 49 50 58 59 61 62 64 65 68 69 74 76 79 85 86 88 89 98 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,SH,12 13 22 23 28 32 33 34 37 38 43 44 45 46 47 48 50 52 53 56 57 58 61 62 63 64 66 71 72 75 77 81 82 83 84 85 87 90 93 94 95 96,OSGB
Melanogaster hirtella,NBNSYS0100003969,SJ,01 15 16 18 20 21 22 24 28 29 30 33 34 35 38 39 40 41 43 45 46 50 51 53 54 55 56 57 58 60 62 63 66 67 69 71 72 73 77 78 82 83 84 85 87 88 91 92 94 95 96 97 98 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,SK,00 05 06 07 08 09 12 15 16 17 19 22 24 25 26 27 28 29 32 34 35 36 37 38 39 41 43 44 45 46 47 48 49 50 51 52 53 54 55 58 59 60 62 63 66 67 77 78 80 86 89 93 94 95,OSGB
Melanogaster hirtella,NBNSYS0100003969,SM,72 73 81 82 83 93,OSGB
Melanogaster hirtella,NBNSYS0100003969,SN,01 03 10 12 13 14 20 23 24 25 31 34 35 40 41 42 44 45 50 51 52 53 54 55 56 57 58 61 62 63 64 65 66 68 69 70 71 75 77 78 79 80 81 82 83 85 87 88 92 96,OSGB
Melanogaster hirtella,NBNSYS0100003969,SO,00 01 03 05 08 09 11 12 14 20 21 22 23 24 26 29 30 31 32 33 34 37 39 41 43 49 50 52 53 60 61 62 65 66 75 77 78 80 81 82 83 85 86 87 88 90 91 92 93 94 95 97 98,OSGB
Melanogaster hirtella,NBNSYS0100003969,SP,02 06 07 08 09 12 13 17 19 20 21 23 27 28 29 30 37 38 40 41 42 43 47 48 50 51 53 54 55 57 58 60 61 65 70 75 76 77 78 83 84 86 87 88 91 92 93 96 97 98 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,SR,89 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,SS,09 11 19 20 21 22 30 31 40 41 42 43 49 51 52 58 59 61 62 64 69 72 73 74 78 79 82 83 84 97 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,ST,11 12 14 17 19 20 21 24 27 28 31 32 33 34 36 38 40 41 42 43 44 45 46 47 48 50 51 52 53 54 55 56 57 59 60 61 63 64 66 67 70 71 72 73 74 75 76 78 79 80 81 82 84 85 87 89 95 97,OSGB
Melanogaster hirtella,NBNSYS0100003969,SU,00 03 08 09 10 11 12 13 14 16 17 18 20 21 26 28 29 30 31 32 33 36 40 42 43 46 47 49 50 51 53 54 56 57 58 59 60 61 65 66 67 68 71 72 73 74 75 76 78 82 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98,OSGB
Melanogaster hirtella,NBNSYS0100003969,SV,91,OSGB
Melanogaster hirtella,NBNSYS0100003969,SW,32 43 44 53 54 61 62 71 74 75 76 83 95 96 97 98,OSGB
Melanogaster hirtella,NBNSYS0100003969,SX,06 08 17 25 35 36 46 59 64 67 68 75 76 78 87 96 97 98 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,SY,08 09 39 49 58 59 68 69 78 79 88 89 98 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,SZ,08 19 29 47 49 57 58 68 69,OSGB
Melanogaster hirtella,NBNSYS0100003969,TA,01 08,OSGB
Melanogaster hirtella,NBNSYS0100003969,TF,01 10 13 14 16 17 18 22 26 37 47 49 62 70 71 74 90 91,OSGB
Melanogaster hirtella,NBNSYS0100003969,TG,00 01 02 03 10 11 12 13 20 30 31 32 41,OSGB
Melanogaster hirtella,NBNSYS0100003969,TL,02 03 05 08 09 10 11 14 16 18 19 22 24 26 28 29 30 33 36 39 41 44 45 47 48 51 52 54 56 57 60 63 66 68 69 70 77 78 80 81 83 84 91 92 97 98 99,OSGB
Melanogaster hirtella,NBNSYS0100003969,TM,01 02 05 09 11 14 24 25 35 37 45 46 47 48 49 59,OSGB
Melanogaster hirtella,NBNSYS0100003969,TQ,00 01 03 04 05 06 07 08 09 13 14 15 16 17 18 19 24 25 26 27 28 32 33 34 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 62 63 64 65 66 67 68 71 74 75 77 78 81 82 83 84 85 86 88 91 93 94 96,OSGB
Melanogaster hirtella,NBNSYS0100003969,TR,01 02 03 04 05 13 15 16 23 26 35,OSGB
Melanogaster hirtella,NBNSYS0100003969,J,11,OSNI
Melanogaster hirtella,NBNSYS0100003969,N,97 99,OSNI
Melanogaster hirtella,NBNSYS0100003969,O,66,OSNI
Melanogaster hirtella,NBNSYS0100003969,R,19,OSNI
Melanogaster hirtella,NBNSYS0100003969,V,66,OSNI
Melanogaster hirtella,NBNSYS0100003969,W,08,OSNI
Cheilosia antiqua,NBNSYS0000006974,NC,40 50 52 55,OSGB
Cheilosia antiqua,NBNSYS0000006974,ND,13,OSGB
Cheilosia antiqua,NBNSYS0000006974,NG,20 24 42 44 53 60 72 84,OSGB
Cheilosia antiqua,NBNSYS0000006974,NH,22 27 32 43 45 52 59 66 67 69 75 79 80 81 82 95,OSGB
Cheilosia antiqua,NBNSYS0000006974,NJ,01 02 24 25 41,OSGB
Cheilosia antiqua,NBNSYS0000006974,NM,68 86,OSGB
Cheilosia antiqua,NBNSYS0000006974,NN,00 04 05 09 15 18 20 22 28 48 50 51 53 62 65 72 74 79 85 86 96,OSGB
Cheilosia antiqua,NBNSYS0000006974,NO,06 11 12 13 14 15 39 43 55 59 69 88 89,OSGB
Cheilosia antiqua,NBNSYS0000006974,NR,71 78 79 88,OSGB
Cheilosia antiqua,NBNSYS0000006974,NS,03 15 45 47 56 57 75 79 99,OSGB
Cheilosia antiqua,NBNSYS0000006974,NT,21 30 31 36 50 87,OSGB
Cheilosia antiqua,NBNSYS0000006974,NX,85 87 88 89 95 96 99,OSGB
Cheilosia antiqua,NBNSYS0000006974,NY,06 36 37 42 43 51 52 54 56 60 66 68 69 76 81 92 96,OSGB
Cheilosia antiqua,NBNSYS0000006974,NZ,01 02 03 10 11 15 19 43 90,OSGB
Cheilosia antiqua,NBNSYS0000006974,SD,18 20 29 38 47 48 54 57 71,OSGB
Cheilosia antiqua,NBNSYS0000006974,SE,09 19 53 55 57 58 63 67 68 69 76 78 88 89 98,OSGB
Cheilosia antiqua,NBNSYS0000006974,SH,12 22 33 38 43 44 46 48 53 57 63 72 73 75 76 93,OSGB
Cheilosia antiqua,NBNSYS0000006974,SJ,05 15 16 34 36 38 43 44 57 60 65 73 78 98,OSGB
Cheilosia antiqua,NBNSYS0000006974,SK,04 05 16 36 37 39 48 50 53 70 76 77 80,OSGB
Cheilosia antiqua,NBNSYS0000006974,SM,72 83,OSGB
Cheilosia antiqua,NBNSYS0000006974,SN,02 14 24 40 57 61 62 68 91,OSGB
Cheilosia antiqua,NBNSYS0000006974,SO,09 24 29 43 46 51 54 55 60 61 66 74 75 76 77 81 90 92 96,OSGB
Cheilosia antiqua,NBNSYS0000006974,SP,06 13 16 17 23 26 37 40 47 50 60 61 65 66 85 96 98,OSGB
Cheilosia antiqua,NBNSYS0000006974,SS,41 42 43 91,OSGB
Cheilosia antiqua,NBNSYS0000006974,ST,00 10 19 20 21 38 40 41 43 50 53 54 60 61 66 73 74 75 76 78 88 92,OSGB
Cheilosia antiqua,NBNSYS0000006974,SU,02 03 12 16 20 22 30 31 40 42 46 49 51 57 65 66 67 72 73 74 75 85 93 94 95 99,OSGB
Cheilosia antiqua,NBNSYS0000006974,SW,53 54 71 82 87,OSGB
Cheilosia antiqua,NBNSYS0000006974,SX,06 09 17 25 35 38 46 55 65 77 78,OSGB
Cheilosia antiqua,NBNSYS0000006974,SY,39 58 59 78,OSGB
Cheilosia antiqua,NBNSYS0000006974,SZ,29 49 58,OSGB
Cheilosia antiqua,NBNSYS0000006974,TA,17,OSGB
Cheilosia antiqua,NBNSYS0000006974,TF,17 62 71,OSGB
Cheilosia antiqua,NBNSYS0000006974,TG,14 30 31,OSGB
Cheilosia antiqua,NBNSYS0000006974,TL,00 02 16 17 26 27 92,OSGB
Cheilosia antiqua,NBNSYS0000006974,TM,05 13 14 23,OSGB
Cheilosia antiqua,NBNSYS0000006974,TQ,04 26 27 33 47 53 55 64 72,OSGB
Cheilosia antiqua,NBNSYS0000006974,TR,05 13 15 16,OSGB
Cheilosia antiqua,NBNSYS0000006974,G,62 80,OSNI
Cheilosia antiqua,NBNSYS0000006974,M,10 20 41,OSNI
Cheilosia antiqua,NBNSYS0000006974,N,19,OSNI
Chamaesyrphus scaevoides,NBNSYS0000007072,NC,23 33,OSGB
Chamaesyrphus scaevoides,NBNSYS0000007072,NG,85 88 95 96,OSGB
Chamaesyrphus scaevoides,NBNSYS0000007072,NH,06 19 33 48 66 69 79 80 81 90 91 95 96,OSGB
Chamaesyrphus scaevoides,NBNSYS0000007072,NJ,01 02,OSGB
Chamaesyrphus scaevoides,NBNSYS0000007072,NN,32 55 89,OSGB
Chamaesyrphus scaevoides,NBNSYS0000007072,NO,08 09 18 19 28 49,OSGB
Parhelophilus consimilis,NBNSYS0000007062,NS,75 88 98,OSGB
Parhelophilus consimilis,NBNSYS0000007062,NT,25 42 52 64,OSGB
Parhelophilus consimilis,NBNSYS0000007062,NU,02,OSGB
Parhelophilus consimilis,NBNSYS0000007062,NX,26 27 55 74,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SE,50,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SH,38 44 48,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SJ,34 65 88,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SK,28 38,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SM,72 93,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SN,14 24 56 66,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SO,05,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SP,17,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SS,59 69 79,OSGB
Parhelophilus consimilis,NBNSYS0000007062,ST,07 32 33 34 43 44 48,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SW,96,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SY,98,OSGB
Parhelophilus consimilis,NBNSYS0000007062,SZ,08,OSGB
Parhelophilus consimilis,NBNSYS0000007062,TF,49,OSGB
Parhelophilus consimilis,NBNSYS0000007062,TG,11 31 32,OSGB
Parhelophilus consimilis,NBNSYS0000007062,TL,03 28 99,OSGB
Parhelophilus consimilis,NBNSYS0000007062,TQ,09,OSGB
Parhelophilus consimilis,NBNSYS0000007062,TR,15,OSGB
Parhelophilus consimilis,NBNSYS0000007062,R,55,OSNI
Myolepta potens,NBNSYS0000007025,SO,34,OSGB
Myolepta potens,NBNSYS0000007025,ST,33 43 57,OSGB
Pipizella virens,NBNSYS0000007088,NB,23 23,OSGB
Pipizella virens,NBNSYS0000007088,NC,80 80,OSGB
Pipizella virens,NBNSYS0000007088,NH,81 81,OSGB
Pipizella virens,NBNSYS0000007088,NO,12 12 99 99,OSGB
Pipizella virens,NBNSYS0000007088,NS,28 28 38 38 86 86,OSGB
Pipizella virens,NBNSYS0000007088,NT,37 37,OSGB
Pipizella virens,NBNSYS0000007088,NX,66 66,OSGB
Pipizella virens,NBNSYS0000007088,NZ,43 43,OSGB
Pipizella virens,NBNSYS0000007088,SD,27 27 47 47 48 48,OSGB
Pipizella virens,NBNSYS0000007088,SE,58 58 60 60 71 71 81 81,OSGB
Pipizella virens,NBNSYS0000007088,SH,65 65 82 82,OSGB
Pipizella virens,NBNSYS0000007088,SJ,41 41 50 50 51 51 72 72,OSGB
Pipizella virens,NBNSYS0000007088,SK,00 00 52 52 53 53 54 54 55 55 66 66 71 71 80 80 91 91,OSGB
Pipizella virens,NBNSYS0000007088,SN,68 68,OSGB
Pipizella virens,NBNSYS0000007088,SO,01 01 32 32 37 37 39 39 41 41 42 42 75 75 80 80 88 88 92 92 94 94 98 98,OSGB
Pipizella virens,NBNSYS0000007088,SP,04 04 09 09 13 13 17 17 18 18 23 23 26 26 34 34 35 35 36 36 37 37 38 38 41 41 45 45 50 50 51 51 59 59 64 64 75 75 76 76 80 80 85 85 87 87 96 96 98 98,OSGB
Pipizella virens,NBNSYS0000007088,SS,43 43 59 59 69 69 78 78 97 97,OSGB
